num_of_beds, quantity, total
2, 85.0, 2940.0
2, 84.0, 2940.0
3, 87.0, 4410.0
1, 64.0, 1470.0
1, 63.0, 1470.0
1, 62.0, 1470.0
3, 86.0, 4410.0
3, 85.0, 4410.0
3, 84.0, 4410.0
3, 83.0, 4410.0
3, 82.0, 4410.0
3, 81.0, 4410.0
3, 80.0, 4410.0
3, 79.0, 4410.0
3, 78.0, 4410.0
3, 77.0, 4410.0
3, 76.0, 4410.0
4, 96.0, 5880.0
3, 75.0, 4410.0
3, 74.0, 4410.0
3, 73.0, 4410.0
3, 72.0, 4410.0
2, 83.0, 2940.0
3, 71.0, 4410.0
3, 70.0, 4410.0
3, 69.0, 4410.0
3, 68.0, 4410.0
3, 67.0, 4410.0
3, 66.0, 4410.0
3, 63.0, 4410.0
3, 63.0, 4410.0
3, 62.0, 4410.0
2, 82.0, 2940.0
3, 62.0, 4410.0
3, 61.0, 4410.0
1, 62.0, 1470.0
2, 81.0, 2940.0
2, 81.0, 2940.0
2, 83.0, 2940.0
2, 82.0, 2940.0
